82,,,迎宾接待,,,中联汽车管理公司-豪林林肯4S店,,,西安-未央区,,,3-4.5千/月,,,09-27
83,,,门店店长,,,深圳市天音科技发展有限公司,,,西安,,,5-8千/月,,,09-27
84,,,储备干部,,,西安亿康餐饮管理集团有限公司,,,西安,,,3.5-4.5千/月,,,09-27
85,,,产品主管,,,亚惠美食有限公司,,,西安,,,4-5千/月,,,09-27
86,,,店长助理（储备店长）,,,陕西佰悦商贸有限公司,,,西安,,,3-4.5千/月,,,09-27
87,,,高薪服务员礼仪模特  KTV服务员日结薪,,,广州皇庭酒店管理有限公司,,,异地招聘,,,3-4万/月,,,09-27
88,,,大丰收餐厅助理,,,福建省大丰收餐饮有限公司,,,西安,,,4.5-5千/月,,,09-27
89,,,收银员,,,西安君乐城堡酒店有限公司,,,西安-碑林区,,,2.5-3千/月,,,09-27
90,,,正式编制 办公室销售助理/客户经理 双休五险一金晋升,,,中国平安人寿保险股份有限公司陕西分公司,,,西安,,,4.5-6千/月,,,09-27
91,,,幼儿园炒菜厨师,,,西安嘉居物业管理服务有限公司,,,西安-未央区,,,3-4.5千/月,,,09-27
92,,,高薪诚聘豪华游轮乘务员海乘服务生 摄影师 奢侈品销售,,,青岛金晟海船舶管理有限公司,,,异地招聘,,,1-1.5万/月,,,09-27
93,,,洗碗工,,,西安斯戴得商业运营管理有限公司,,,西安,,,1.5-2千/月,,,09-27
94,,,豪华邮轮spa 餐厅 客房 前台招聘,,,国际邮轮海乘基地,,,异地招聘,,,0.8-3万/月,,,09-27
95,,,门店店长,,,陕西辉傲环境工程有限公司,,,西安-莲湖区,,,6-8千/月,,,09-27
96,,,面点师,,,陕西斯达防爆安全科技股份有限公司,,,西安,,,2.8-3千/月,,,09-27
97,,,厨师长,,,陕西云尚精品酒店管理有限公司,,,异地招聘,,,6-8千/月,,,09-27
98,,,大堂经理,,,西安千家粗粮王餐饮有限责任公司,,,西安,,,4.5-8千/月,,,09-27
99,,,川湘菜厨师长,,,西安花之歌餐饮有限公司,,,西安,,,5-6千/月,,,09-27
100,,,茶餐厅接待 包食宿 3500,,,西安大明宫实业集团,,,西安,,,3.5-4千/月,,,09-27
101,,,未央开元幼儿园诚聘帮灶,,,西安市未央区开元幼儿园,,,西安-未央区,,,1.5-2千/月,,,09-27
102,,,餐饮运营经理,,,安鼎时装,,,西安-碑林区,,,4-8千/月,,,09-27
103,,,值班经理（店面运营经理）,,,重庆展智企业营销策划有限公司,,,西安-曲江文化新区,,,6-8千/月,,,09-27
104,,,饮品店员,,,西安橙翰广告文化传播有限公司,,,西安-新城区,,,3-4.5千/月,,,09-27
105,,,店员/导玩/店面员工,,,陕西乐金动漫有限公司,,,西安-曲江文化新区,,,3-3.5千/月,,,09-27
106,,,财务会计,,,福建省华莱士食品股份有限公司,,,西安-未央区,,,3-4.5千/月,,,09-27
107,,,员工餐厅洗碗工,,,西安碑林万达广场,,,西安,,,2-3千/月,,,09-27
108,,,收银员,,,陕西固元信息技术有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-27
109,,,急招小件搬运工6000+包吃住,,,威海万洋海洋科技有限公司,,,异地招聘,,,6-8千/月,,,09-27
110,,,客户服务客服/住宿+补贴奖金+带薪年假,,,广州谷创信息科技有限公司,,,西安-未央区,,,6-8千/月,,,09-27
111,,,厨师,,,新华盛节能科技股份有限公司,,,西安-新城区,,,4.5-6千/月,,,09-27
112,,,店长,,,上海乌禾实业有限公司,,,西安,,,0.7-1.2万/月,,,09-27
113,,,店长,,,上海吉茶餐饮管理有限公司,,,西安-雁塔区,,,6-9千/月,,,09-27
114,,,魏家便利―店助,,,陕西华荣万盛食品有限公司,,,西安,,,3.3-4.3千/月,,,09-27
115,,,店面营业员,,,西安方寸间文化创意有限公司,,,西安-碑林区,,,2.5-4千/月,,,09-27
116,,,诚聘APP应用测试/经验不限,,,广州德广信息科技有限责任公司,,,西安-新城区,,,4.5-6千/月,,,09-27
117,,,餐厅领班,,,陕西高度定制酒业有限公司,,,西安,,,4-6千/月,,,09-27
118,,,幼儿园厨师,,,陕西伊顿智慧教育投资有限公司,,,西安-曲江文化新区,,,3-5千/月,,,09-27
119,,,KTV连锁品牌店长,,,北京麦颂文化传播有限公司,,,异地招聘,,,1.5-2.5万/月,,,09-27
120,,,店长,,,上海真快信息技术有限公司,,,西安,,,1.5-2.5万/月,,,09-27
121,,,店长,,,西安四叶草餐饮管理有限公司,,,西安-未央区,,,4.5-6千/月,,,09-27
122,,,餐饮运营总监,,,西安盛道企业咨询有限公司,,,西安,,,1-1.5万/月,,,09-27
123,,,日式料理 前厅经理,,,陕西万盛达信息科技有限公司,,,西安,,,5-8千/月,,,09-27
124,,,营销策划专员,,,陕西佳源北京老铺饮食有限责任公司,,,西安-碑林区,,,3-5千/月,,,09-27
125,,,见习助理（西安）,,,上海适达餐饮管理有限公司,,,西安,,,3-3.5千/月,,,09-27
126,,,见习助理/储备经理,,,阿香餐饮管理服务有限公司中区,,,西安,,,3-4.5千/月,,,09-27
127,,,餐厅主管,,,西安中新华胜房地产开发有限公司�哄卑�美酒店,,,西安-�哄鄙�态区,,,2-3千/月,,,09-27
128,,,店长,,,西安辣骨气餐饮管理有限公司,,,西安-新城区,,,2.8-3千/月,,,09-27
129,,,中西式产品研发员,,,深圳市伊泽实业有限公司康力食品厂,,,异地招聘,,,0.6-1万/月,,,09-27
130,,,周至庄园烧烤师,,,陕西中茂幕墙智能科技有限公司,,,西安-周至县,,,3-5千/月,,,09-27
131,,,寒窑遗址公园招聘职位,,,西安曲江文化旅游股份有限公司,,,西安-曲江文化新区,,,2-5千/月,,,09-27
132,,,餐厅领班主管,,,陕西明瑞资产管理有限公司,,,西安-长安区,,,2-3千/月,,,09-27
133,,,餐厅长期招服务员（包吃包住）,,,味千（中国）,,,西安,,,2.3-3.3千/月,,,09-27
134,,,调茶师,,,东莞侯彩擂商贸有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-27
135,,,员工餐厨师,,,西安环太科技发展有限公司,,,西安,,,2-3千/月,,,09-27
136,,,服务员（餐饮类）,,,西安华阳城商业管理运营有限责任公司,,,西安,,,3-4.5千/月,,,09-27
137,,,接待员,,,陕西南飞鸿实业有限公司,,,西安,,,None,,,09-27
138,,,店长,,,深圳丽威创建商贸有限公司,,,西安-碑林区,,,6-8千/月,,,09-27
139,,,餐饮主管,,,陕西家乐优品实业有限公司,,,异地招聘,,,3-9.9千/月,,,09-27
140,,,商场督导,,,陕西金赢工贸有限公司,,,西安,,,4.5-6千/月,,,09-27
141,,,市场开发专员,,,武汉美乐和食餐饮管理有限公司,,,西安-新城区,,,6-8千/月,,,09-27
142,,,酒吧收银员,,,西安木土土餐饮管理有限公司南门分公司,,,西安-碑林区,,,3-4.5千/月,,,09-27
143,,,面点中工/面点师,,,陕西秦皇大剧院演艺有限公司,,,西安-临潼区,,,3.5-5.5千/月,,,09-27
144,,,厨师长（淮阳菜）,,,陕西外婆印象餐饮管理有限公司,,,西安-碑林区,,,1-1.5万/月,,,09-27
145,,,售楼部案场客服接待,,,世茂天成物业服务集团有限公司,,,西安,,,2-4千/月,,,09-27
146,,,餐饮经理,,,陕西春尚四季投资控股集团有限公司,,,西安,,,6-8千/月,,,09-27
147,,,店长,,,中国正元国际健康产业集团有限公司,,,西安-莲湖区,,,30-40万/年,,,09-27
148,,,帮厨,,,当代置业陕西地区公司,,,西安-未央区,,,2-4千/月,,,09-27
149,,,厨师,,,西安正道能源机械设备有限公司,,,西安,,,3-4.5千/月,,,09-27
150,,,餐饮部经理,,,西安雀笙酒店管理有限公司,,,西安-高新技术产业开发区,,,6-8千/月,,,09-27
151,,,服务员/传菜员+包吃住+全勤+提成,,,李氏伟业,,,西安-高新技术产业开发区,,,4-6千/月,,,09-27
152,,,高级咖啡师,,,陕西运维电力股份有限公司,,,西安,,,3-4.5千/月,,,09-27
153,,,咖啡师,,,陕西汉唐文创文化产业发展有限公司,,,西安,,,3-4.5千/月,,,09-27
154,,,餐厅主管,,,西安泊思酒店管理有限责任公司,,,西安-碑林区,,,2-3千/月,,,09-27
155,,,店长,,,十月瑷孕婴用品服饰推广中心,,,西安-新城区,,,6-8千/月,,,09-27
156,,,诚聘产线作业员3500+食宿,,,西安市印光电子科技有限公司,,,西安-未央区,,,3.5-4.2千/月,,,09-26
157,,,门店咖啡师,,,陕西造物研学商业运营管理有限公司,,,西安,,,2.5-5千/月,,,09-26
158,,,店长,,,西安馨慧房地产营销策划有限公司第六分公司,,,西安,,,2.5-3万/月,,,09-26
